Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.687,2.238,11.687,0.067,0.483,0.000,0.000,0.000
2,1.792,12.525,1.792,12.525,0.056,0.537,0.000,0.000,0.000
3,1.801,12.530,1.801,12.530,0.087,0.621,0.000,0.000,0.000
4,1.942,12.588,1.942,12.588,0.083,0.522,0.000,0.000,0.000
5,1.876,12.567,1.876,12.567,0.058,0.580,0.000,0.000,0.000
6,1.886,12.570,1.886,12.570,0.074,0.569,0.000,0.000,0.000
7,1.712,12.477,1.712,12.477,0.069,0.324,0.000,0.000,0.000
8,1.350,12.370,1.350,12.370,0.038,0.447,0.000,0.000,0.000
9,1.579,12.400,1.579,12.400,0.078,0.265,0.000,0.000,0.000
10,1.467,12.359,1.467,12.359,0.052,0.501,0.000,0.000,0.000
11,2.182,12.293,2.182,12.293,0.073,0.503,0.000,0.000,0.000
12,2.255,11.634,2.255,11.634,0.102,0.313,0.000,0.000,0.000
13,1.263,12.398,1.263,12.398,0.054,0.328,0.000,0.000,0.000
14,1.330,12.377,1.330,12.377,0.053,0.383,0.000,0.000,0.000
15,1.839,12.550,1.839,12.550,0.048,0.494,0.000,0.000,0.000
