Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.033,12.322,2.033,12.322,0.061,0.509,0.000,0.000,0.000
2,1.372,12.866,1.372,12.866,0.043,0.552,0.000,0.000,0.000
3,1.386,12.858,1.386,12.858,0.067,0.637,0.000,0.000,0.000
4,1.594,12.733,1.594,12.733,0.068,0.528,0.000,0.000,0.000
5,1.497,12.791,1.497,12.791,0.046,0.590,0.000,0.000,0.000
6,1.511,12.783,1.511,12.783,0.059,0.579,0.000,0.000,0.000
7,1.255,12.944,1.255,12.944,0.050,0.336,0.000,0.000,0.000
8,0.719,13.824,0.719,13.824,0.020,0.500,0.000,0.000,0.000
9,1.058,13.119,1.058,13.119,0.052,0.280,0.000,0.000,0.000
10,0.893,13.359,0.893,13.359,0.032,0.541,0.000,0.000,0.000
