Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.688,2.238,11.688,0.067,0.483,0.032,1.402,-2.324
2,1.792,12.525,1.792,12.525,0.056,0.537,0.022,2.873,-0.489
3,1.801,12.530,1.801,12.530,0.087,0.621,0.029,-0.406,2.729
4,1.942,12.587,1.942,12.587,0.083,0.522,0.007,-0.197,-0.524
5,1.876,12.567,1.876,12.567,0.058,0.580,0.003,-0.828,-2.743
6,1.886,12.570,1.886,12.570,0.074,0.569,0.024,-2.783,2.785
7,1.712,12.477,1.712,12.477,0.069,0.324,0.007,-0.543,0.004
8,1.350,12.370,1.350,12.370,0.038,0.447,0.003,-2.357,-2.816
9,1.579,12.400,1.579,12.400,0.078,0.265,0.009,0.212,-1.633
10,1.467,12.359,1.467,12.359,0.052,0.501,0.017,2.252,2.998
11,2.182,12.293,2.182,12.293,0.073,0.503,0.020,0.950,-1.128
12,2.255,11.635,2.255,11.635,0.102,0.313,0.003,1.328,2.237
13,1.263,12.399,1.263,12.399,0.054,0.328,0.004,1.587,2.075
14,1.330,12.377,1.330,12.377,0.053,0.383,0.010,2.087,-1.927
15,1.839,12.550,1.839,12.550,0.048,0.494,0.011,1.808,-0.245
16,1.909,12.579,1.909,12.579,0.061,0.546,0.015,1.457,-2.120
17,2.274,11.570,2.274,11.570,0.066,0.541,0.006,0.119,1.435
18,1.243,12.405,1.243,12.405,0.049,0.444,0.007,2.380,1.039
19,1.360,12.367,1.360,12.367,0.068,0.508,0.010,-1.098,-2.367
20,1.226,12.409,1.226,12.409,0.044,0.596,0.003,0.090,2.785
21,2.032,12.585,2.032,12.585,0.063,0.580,0.004,1.213,-0.777
22,1.438,12.356,1.438,12.356,0.031,0.530,0.001,-0.788,1.718
23,1.598,12.410,1.598,12.410,0.077,0.457,0.005,0.948,1.457
24,1.503,12.368,1.503,12.368,0.068,0.480,0.012,-0.567,-2.563
25,1.561,12.391,1.561,12.391,0.062,0.257,0.010,0.670,2.298
