Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.353,13.677,2.340,13.318,0.070,0.550,0.038,1.402,-2.324
2,1.858,13.297,1.880,13.058,0.059,0.560,0.024,2.873,-0.489
3,1.869,13.311,1.908,13.327,0.093,0.660,0.033,-0.406,2.729
4,2.025,13.495,2.072,14.184,0.088,0.588,0.009,-0.197,-0.524
5,1.952,13.413,2.073,13.184,0.064,0.608,0.004,-0.828,-2.743
6,1.962,13.426,1.863,13.427,0.073,0.608,0.025,-2.783,2.785
7,1.770,13.182,1.703,12.814,0.068,0.333,0.007,-0.543,0.004
8,1.369,12.709,1.464,12.697,0.041,0.459,0.004,-2.357,-2.816
9,1.623,12.985,1.585,12.594,0.078,0.269,0.009,0.212,-1.633
10,1.499,12.831,1.463,13.037,0.052,0.528,0.018,2.252,2.998
