Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.268,11.205,2.269,11.048,0.064,0.312,0.005,-2.027,1.108
2,1.827,13.352,1.836,13.188,0.051,0.598,0.026,2.419,0.671
3,1.566,12.997,1.613,12.543,0.044,0.587,0.019,1.883,0.410
4,1.868,13.407,2.012,14.263,0.083,0.452,0.029,-2.334,1.347
5,1.216,12.741,1.204,12.401,0.056,0.354,0.016,-0.221,2.417
6,2.201,13.780,2.147,13.909,0.068,0.461,0.013,1.770,-2.249
7,1.303,12.740,1.369,13.092,0.054,0.649,0.033,0.714,0.169
8,1.594,13.034,1.707,13.114,0.082,0.497,0.029,-1.956,-2.393
9,1.607,13.051,1.658,13.337,0.067,0.451,0.005,2.110,0.993
10,1.379,12.788,1.402,12.803,0.059,0.263,0.014,2.668,2.716
