Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.353,13.677,2.353,13.677,0.071,0.565,0.039,1.402,-2.324
2,1.858,13.297,1.858,13.297,0.058,0.570,0.024,2.873,-0.489
3,1.869,13.311,1.869,13.311,0.091,0.659,0.032,-0.406,2.729
4,2.025,13.495,2.025,13.495,0.086,0.559,0.008,-0.197,-0.524
5,1.952,13.413,1.952,13.413,0.060,0.619,0.003,-0.828,-2.743
6,1.962,13.426,1.962,13.426,0.077,0.608,0.027,-2.783,2.785
7,1.770,13.182,1.770,13.182,0.071,0.342,0.008,-0.543,0.004
8,1.369,12.709,1.369,12.709,0.039,0.460,0.004,-2.357,-2.816
9,1.623,12.985,1.623,12.985,0.080,0.277,0.009,0.212,-1.633
10,1.499,12.831,1.499,12.831,0.053,0.520,0.018,2.252,2.998
