Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.678,2.226,11.371,0.067,0.470,0.031,1.402,-2.324
2,1.793,12.239,1.814,12.019,0.057,0.516,0.021,2.873,-0.489
3,1.802,12.234,1.840,12.249,0.089,0.607,0.029,-0.406,2.729
4,1.943,12.133,1.988,12.753,0.085,0.529,0.008,-0.197,-0.524
5,1.877,12.185,1.993,11.977,0.061,0.552,0.003,-0.828,-2.743
6,1.887,12.178,1.791,12.180,0.070,0.551,0.022,-2.783,2.785
7,1.714,12.279,1.648,11.937,0.066,0.310,0.006,-0.543,0.004
8,1.352,12.385,1.446,12.373,0.041,0.447,0.004,-2.357,-2.816
9,1.581,12.328,1.544,11.957,0.076,0.255,0.008,0.212,-1.633
10,1.469,12.359,1.434,12.557,0.051,0.509,0.017,2.252,2.998
11,2.183,11.810,2.297,11.503,0.077,0.471,0.020,0.950,-1.128
12,2.255,11.628,2.327,11.454,0.106,0.308,0.003,1.328,2.237
13,1.266,12.403,1.280,12.407,0.055,0.329,0.004,1.587,2.075
14,1.332,12.389,1.438,12.008,0.057,0.372,0.010,2.087,-1.927
15,1.840,12.211,1.802,11.943,0.047,0.470,0.010,1.808,-0.245
