Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.268,11.205,2.268,11.205,0.064,0.317,0.006,-2.027,1.108
2,1.827,13.352,1.827,13.352,0.051,0.605,0.026,2.419,0.671
3,1.566,12.997,1.566,12.997,0.043,0.608,0.019,1.883,0.410
4,1.868,13.407,1.868,13.407,0.077,0.425,0.025,-2.334,1.347
5,1.216,12.741,1.216,12.741,0.057,0.363,0.016,-0.221,2.417
6,2.201,13.780,2.201,13.780,0.070,0.457,0.013,1.770,-2.249
7,1.303,12.740,1.303,12.740,0.052,0.631,0.030,0.714,0.169
8,1.594,13.034,1.594,13.034,0.077,0.494,0.027,-1.956,-2.393
9,1.607,13.051,1.607,13.051,0.065,0.441,0.005,2.110,0.993
10,1.379,12.788,1.379,12.788,0.058,0.263,0.014,2.668,2.716
11,1.377,12.786,1.377,12.786,0.058,0.323,0.015,-2.792,-2.681
12,2.201,13.780,2.201,13.780,0.105,0.412,0.037,1.187,-2.495
13,2.424,13.848,2.424,13.848,0.101,0.469,0.021,-0.028,2.312
14,1.410,12.815,1.410,12.815,0.043,0.444,0.014,-2.936,2.892
15,1.914,13.468,1.914,13.468,0.092,0.531,0.004,-2.142,0.083
