Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.678,2.226,11.371,0.067,0.470,0.000,0.000,0.000
2,1.793,12.239,1.814,12.019,0.057,0.516,0.000,0.000,0.000
3,1.802,12.234,1.840,12.249,0.089,0.607,0.000,0.000,0.000
4,1.943,12.133,1.988,12.753,0.085,0.529,0.000,0.000,0.000
5,1.877,12.185,1.993,11.977,0.061,0.552,0.000,0.000,0.000
6,1.887,12.178,1.791,12.180,0.070,0.551,0.000,0.000,0.000
7,1.714,12.279,1.648,11.937,0.066,0.310,0.000,0.000,0.000
8,1.352,12.385,1.446,12.373,0.041,0.447,0.000,0.000,0.000
9,1.581,12.328,1.544,11.957,0.076,0.255,0.000,0.000,0.000
10,1.469,12.359,1.434,12.557,0.051,0.509,0.000,0.000,0.000
11,2.183,11.810,2.297,11.503,0.077,0.471,0.000,0.000,0.000
12,2.255,11.628,2.327,11.454,0.106,0.308,0.000,0.000,0.000
13,1.266,12.403,1.280,12.407,0.055,0.329,0.000,0.000,0.000
14,1.332,12.389,1.438,12.008,0.057,0.372,0.000,0.000,0.000
15,1.840,12.211,1.802,11.943,0.047,0.470,0.000,0.000,0.000
16,1.910,12.161,1.881,12.129,0.060,0.526,0.000,0.000,0.000
17,2.275,11.566,2.208,12.458,0.064,0.583,0.000,0.000,0.000
18,1.246,12.408,1.191,12.992,0.047,0.465,0.000,0.000,0.000
19,1.363,12.382,1.368,12.122,0.068,0.498,0.000,0.000,0.000
20,1.229,12.412,1.211,12.168,0.043,0.585,0.000,0.000,0.000
21,2.033,12.042,2.029,11.700,0.063,0.539,0.000,0.000,0.000
22,1.440,12.366,1.402,13.357,0.030,0.573,0.000,0.000,0.000
23,1.600,12.322,1.590,12.306,0.077,0.453,0.000,0.000,0.000
24,1.505,12.350,1.533,12.852,0.069,0.499,0.000,0.000,0.000
25,1.563,12.334,1.545,12.924,0.062,0.268,0.000,0.000,0.000
