Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.688,2.226,11.380,0.067,0.470,0.031,1.402,-2.324
2,1.792,12.525,1.813,12.299,0.057,0.528,0.022,2.873,-0.489
3,1.801,12.530,1.839,12.545,0.089,0.622,0.030,-0.406,2.729
4,1.942,12.587,1.987,13.230,0.085,0.548,0.008,-0.197,-0.524
5,1.876,12.567,1.992,12.352,0.061,0.570,0.003,-0.828,-2.743
6,1.886,12.570,1.790,12.572,0.070,0.569,0.023,-2.783,2.785
7,1.712,12.477,1.647,12.130,0.066,0.315,0.007,-0.543,0.004
8,1.350,12.370,1.443,12.359,0.041,0.447,0.004,-2.357,-2.816
9,1.579,12.400,1.542,12.026,0.076,0.257,0.008,0.212,-1.633
10,1.467,12.359,1.432,12.557,0.051,0.509,0.017,2.252,2.998
11,2.182,12.293,2.297,11.974,0.077,0.490,0.021,0.950,-1.128
12,2.255,11.635,2.327,11.460,0.106,0.308,0.003,1.328,2.237
13,1.263,12.399,1.277,12.402,0.054,0.328,0.004,1.587,2.075
14,1.330,12.377,1.436,11.996,0.057,0.371,0.010,2.087,-1.927
15,1.839,12.550,1.801,12.274,0.047,0.483,0.011,1.808,-0.245
