Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.394,13.646,2.394,13.646,0.068,0.386,0.000,0.000,0.000
2,1.653,13.025,1.653,13.025,0.046,0.591,0.000,0.000,0.000
3,1.465,12.794,1.465,12.794,0.040,0.598,0.000,0.000,0.000
4,1.683,13.065,1.683,13.065,0.070,0.414,0.000,0.000,0.000
5,1.211,12.701,1.211,12.701,0.056,0.362,0.000,0.000,0.000
6,1.924,13.380,1.924,13.380,0.061,0.443,0.000,0.000,0.000
7,1.275,12.675,1.275,12.675,0.051,0.628,0.000,0.000,0.000
8,1.485,12.816,1.485,12.816,0.071,0.486,0.000,0.000,0.000
9,1.494,12.826,1.494,12.826,0.060,0.433,0.000,0.000,0.000
10,1.329,12.687,1.329,12.687,0.056,0.261,0.000,0.000,0.000
11,1.328,12.686,1.328,12.686,0.056,0.320,0.000,0.000,0.000
12,1.924,13.380,1.924,13.380,0.092,0.400,0.000,0.000,0.000
13,2.389,13.652,2.389,13.652,0.099,0.462,0.000,0.000,0.000
14,1.351,12.698,1.351,12.698,0.041,0.440,0.000,0.000,0.000
15,1.717,13.110,1.717,13.110,0.083,0.517,0.000,0.000,0.000
16,1.679,13.060,1.679,13.060,0.057,0.372,0.000,0.000,0.000
17,2.452,13.511,2.452,13.511,0.101,0.360,0.000,0.000,0.000
18,1.293,12.676,1.293,12.676,0.026,0.466,0.000,0.000,0.000
19,1.905,13.356,1.905,13.356,0.089,0.546,0.000,0.000,0.000
20,2.307,13.687,2.307,13.687,0.096,0.285,0.000,0.000,0.000
