Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.171,11.833,2.171,11.833,0.065,0.489,0.000,0.000,0.000
2,1.450,12.363,1.450,12.363,0.045,0.530,0.000,0.000,0.000
3,1.465,12.360,1.465,12.360,0.071,0.612,0.000,0.000,0.000
4,1.692,12.288,1.692,12.288,0.072,0.509,0.000,0.000,0.000
5,1.586,12.327,1.586,12.327,0.049,0.569,0.000,0.000,0.000
6,1.601,12.322,1.601,12.322,0.063,0.558,0.000,0.000,0.000
7,1.321,12.391,1.321,12.391,0.053,0.322,0.000,0.000,0.000
8,0.736,12.796,0.736,12.796,0.021,0.463,0.000,0.000,0.000
9,1.106,12.448,1.106,12.448,0.055,0.266,0.000,0.000,0.000
10,0.926,12.546,0.926,12.546,0.033,0.508,0.000,0.000,0.000
