Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.033,12.322,2.033,12.322,0.061,0.509,0.000,0.000,0.000
2,1.372,12.866,1.372,12.866,0.043,0.552,0.000,0.000,0.000
3,1.386,12.858,1.386,12.858,0.067,0.637,0.000,0.000,0.000
4,1.594,12.733,1.594,12.733,0.068,0.528,0.000,0.000,0.000
5,1.497,12.791,1.497,12.791,0.046,0.590,0.000,0.000,0.000
6,1.511,12.783,1.511,12.783,0.059,0.579,0.000,0.000,0.000
7,1.255,12.944,1.255,12.944,0.050,0.336,0.000,0.000,0.000
8,0.719,13.824,0.719,13.824,0.020,0.500,0.000,0.000,0.000
9,1.058,13.119,1.058,13.119,0.052,0.280,0.000,0.000,0.000
10,0.893,13.359,0.893,13.359,0.032,0.541,0.000,0.000,0.000
11,1.950,12.443,1.950,12.443,0.065,0.509,0.000,0.000,0.000
12,2.058,12.275,2.058,12.275,0.093,0.330,0.000,0.000,0.000
13,0.590,14.496,0.590,14.496,0.025,0.384,0.000,0.000,0.000
14,0.690,13.944,0.690,13.944,0.027,0.432,0.000,0.000,0.000
15,1.443,12.824,1.443,12.824,0.037,0.505,0.000,0.000,0.000
16,1.546,12.762,1.546,12.762,0.049,0.553,0.000,0.000,0.000
17,2.086,12.213,2.086,12.213,0.061,0.571,0.000,0.000,0.000
18,0.561,14.728,0.561,14.728,0.022,0.527,0.000,0.000,0.000
19,0.734,13.769,0.734,13.769,0.037,0.566,0.000,0.000,0.000
20,0.535,14.964,0.535,14.964,0.019,0.719,0.000,0.000,0.000
