Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.268,11.205,2.269,11.048,0.064,0.312,0.000,0.000,0.000
2,1.827,13.352,1.836,13.188,0.051,0.598,0.000,0.000,0.000
3,1.566,12.997,1.613,12.543,0.044,0.587,0.000,0.000,0.000
4,1.868,13.407,2.012,14.263,0.083,0.452,0.000,0.000,0.000
5,1.216,12.741,1.204,12.401,0.056,0.354,0.000,0.000,0.000
6,2.201,13.780,2.147,13.909,0.068,0.461,0.000,0.000,0.000
7,1.303,12.740,1.369,13.092,0.054,0.649,0.000,0.000,0.000
8,1.594,13.034,1.707,13.114,0.082,0.497,0.000,0.000,0.000
9,1.607,13.051,1.658,13.337,0.067,0.451,0.000,0.000,0.000
10,1.379,12.788,1.402,12.803,0.059,0.263,0.000,0.000,0.000
11,1.377,12.786,1.291,13.068,0.055,0.330,0.000,0.000,0.000
12,2.201,13.780,2.173,14.803,0.104,0.443,0.000,0.000,0.000
13,2.424,13.848,2.360,13.119,0.098,0.444,0.000,0.000,0.000
14,1.410,12.815,1.470,13.243,0.045,0.458,0.000,0.000,0.000
15,1.914,13.468,1.933,14.410,0.093,0.569,0.000,0.000,0.000
