Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.688,2.238,11.688,0.067,0.483,0.032,1.402,-2.324
2,1.792,12.525,1.792,12.525,0.056,0.537,0.022,2.873,-0.489
3,1.801,12.530,1.801,12.530,0.087,0.621,0.029,-0.406,2.729
4,1.942,12.587,1.942,12.587,0.083,0.522,0.007,-0.197,-0.524
5,1.876,12.567,1.876,12.567,0.058,0.580,0.003,-0.828,-2.743
6,1.886,12.570,1.886,12.570,0.074,0.569,0.024,-2.783,2.785
7,1.712,12.477,1.712,12.477,0.069,0.324,0.007,-0.543,0.004
8,1.350,12.370,1.350,12.370,0.038,0.447,0.003,-2.357,-2.816
9,1.579,12.400,1.579,12.400,0.078,0.265,0.009,0.212,-1.633
10,1.467,12.359,1.467,12.359,0.052,0.501,0.017,2.252,2.998
