Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.268,11.189,2.268,11.189,0.064,0.316,0.000,0.000,0.000
2,1.827,13.353,1.827,13.353,0.051,0.605,0.000,0.000,0.000
3,1.566,12.997,1.566,12.997,0.043,0.608,0.000,0.000,0.000
4,1.868,13.408,1.868,13.408,0.077,0.425,0.000,0.000,0.000
5,1.216,12.741,1.216,12.741,0.057,0.363,0.000,0.000,0.000
6,2.202,13.739,2.202,13.739,0.070,0.455,0.000,0.000,0.000
7,1.303,12.740,1.303,12.740,0.052,0.631,0.000,0.000,0.000
8,1.594,13.034,1.594,13.034,0.077,0.494,0.000,0.000,0.000
9,1.607,13.051,1.607,13.051,0.065,0.441,0.000,0.000,0.000
10,1.379,12.788,1.379,12.788,0.058,0.263,0.000,0.000,0.000
11,1.376,12.786,1.376,12.786,0.058,0.323,0.000,0.000,0.000
12,2.202,13.739,2.202,13.739,0.105,0.411,0.000,0.000,0.000
13,2.425,13.846,2.425,13.846,0.101,0.468,0.000,0.000,0.000
14,1.410,12.815,1.410,12.815,0.043,0.444,0.000,0.000,0.000
15,1.915,13.469,1.915,13.469,0.092,0.531,0.000,0.000,0.000
