Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.678,2.226,11.371,0.067,0.470,0.000,0.000,0.000
2,1.793,12.239,1.814,12.019,0.057,0.516,0.000,0.000,0.000
3,1.802,12.234,1.840,12.249,0.089,0.607,0.000,0.000,0.000
4,1.943,12.133,1.988,12.753,0.085,0.529,0.000,0.000,0.000
5,1.877,12.185,1.993,11.977,0.061,0.552,0.000,0.000,0.000
6,1.887,12.178,1.791,12.180,0.070,0.551,0.000,0.000,0.000
7,1.714,12.279,1.648,11.937,0.066,0.310,0.000,0.000,0.000
8,1.352,12.385,1.446,12.373,0.041,0.447,0.000,0.000,0.000
9,1.581,12.328,1.544,11.957,0.076,0.255,0.000,0.000,0.000
10,1.469,12.359,1.434,12.557,0.051,0.509,0.000,0.000,0.000
